=== CalamusInjector Jukebox Map | Insert one of these IDs into the mod menu and try it out! ===

000: 30 Factory
001: AGod'sMachine
002: AviateOld
003: Aviator
004: ChildrenOfTheRuins
005: ChildrenOfTheRuins_piano
006: Collapse
007: Collapse_loop
008: Countdown
009: DarkStairwell
010: DeepMines
011: DeepMinesPiano
012: Distant
013: EleventhHour
014: Encounter
015: Factory
016: FactoryQuiet
017: Geothermal
018: Home
019: InMemory
020: IntoTheLight
021: LibraryStroll
022: MinesAmbience
023: MinesAmbienceWind
024: MyBurdenIsDead
025: MyBurdenIsLight
026: Navigate
027: NavigateExtended
028: NikoAndTheWorldMachine
029: OnLittleCatFeet
030: OnLittleCatFeetPiano
031: Panic
032: Phosphor
033: Phosphor_dark
034: Pretty
035: PrettyBad
036: PrettyNiceDay
037: Rowbot
038: SelfContainedUniverse
039: SelfContainedUniversePiano
040: SelfContainedUniverseReprise
041: SilverPoint
042: SimpleSecrets
043: Solstice
044: SomeplaceIKnow
045: Sonder
046: SonderExtended
047: SonderExtendedGuitar
048: Sunrise
049: TheAuthor
050: TheTower
051: TheTower2
052: ToDream
053: ToSleep
054: ambience
055: ambience2
056: ambience3
057: ambience4
058: computer_room
059: mines maybe
060: puzzle-solved-remix
061: unreality
